tiempo,carga,extension_de_traccion,esfuerzo_de_traccion,deformacion,deformacion_media,desplazamiento_deformacion_uno,desplazamiento_deformacion_dos
15.8,292.99888,1.31672,7.32497,0,0,0.23115,0
15.9,294.55519,1.32484,7.36388,0,0,0.23255,0
16,296.71416,1.33344,7.41785,0,0,0.23412,0
16.1,298.18036,1.34219,7.45451,0,0,0.23536,0
16.2,299.75863,1.34953,7.49397,0,0,0.23721,0
16.3,301.51478,1.35844,7.53787,0,0,0.23842,0
16.4,303.20901,1.36656,7.58023,0,0,0.24012,0
16.5,304.97536,1.37531,7.62438,0,0,0.24155,0
16.6,306.36163,1.38328,7.65904,0,0,0.24277,0
16.7,308.31839,1.39172,7.70796,0,0,0.24461,0
16.8,309.67018,1.4,7.74175,0,0,0.24582,0
16.9,311.5729,1.40797,7.78932,0,0,0.24761,0
17,313.03517,1.41656,7.82588,0,0,0.24881,0
17.1,314.54291,1.42469,7.86357,0,0,0.25009,0
17.2,316.35941,1.43391,7.90899,0,0,0.25155,0
17.3,317.44633,1.44141,7.93616,0,0,0.25273,0
17.4,319.4219,1.45016,7.98555,0,0,0.25418,0
17.5,320.92964,1.45812,8.02324,0,0,0.25538,0
17.6,322.4554,1.46641,8.06139,0,0,0.25694,0
17.7,324.0752,1475,8.10188,0,0,0.25796,0
17.8,325.65661,1.48297,8.14142,0,0,0.25938,0
17.9,327.26701,1.49219,8.18167,0,0,0.26041,0
18,328.62742,1.49984,8.21569,0,0,0.26175,0
18.1,330.60925,1.50875,8.26523,0,0,0.26307,0
18.2,332.0355,1.51656,8.30089,0,0,0.26428,0
18.3,333.84415,1.52516,8.3461,0,0,0.26578,0
18.4,335.13247,1.53328,8.37831,0,0,0.2667,0
18.5,336.89176,1.54156,8.42229,0,0,0.26816,0
18.6,338.47785,1.55,8.46195,0,0,0.26924,0
18.7,340.17838,1.55781,8.50446,0,0,0.27042,0
18.8,342.05599,1.56719,8.5514,0,0,0.27194,0
18.9,343.42504,1.57469,8.58563,0,0,0.27294,0
19,345.24309,1.58375,8.63108,0,0,0.27436,0
19.1,346.63563,1.59156,8.66589,0,0,0.27548,0
19.2,348.40042,1.60016,8.71001,0,0,0.27701,0
19.3,349.8384,1.60828,8.74596,0,0,0.27831,0
19.4,351.55225,1.61609,8.78881,0,0,0.2796,0
19.5,353.4761,1.62516,8.8369,0,0,0.28079,0
19.6,354.93211,1.63312,8.8733,0,0,0.28199,0
19.7,356.91003,1.64219,8.92275,0,0,0.28346,0
19.8,358.47891,1.64984,8.96197,0,0,0.28452,0
19.9,360.20998,1.65891,9.00525,0,0,0.28618,0
20,361.57588,1.66656,9.0394,0,0,0.28728,0
20.1,363.73092,1.67484,9.09327,0,0,0.2889,0
20.2,365.03724,1.68312,9.12593,0,0,0.29,0
20.3,366.79967,1.69141,9.16999,0,0,0.2912,0
20.4,368.39126,1.70047,9.20978,0,0,0.29274,0
20.5,369.82612,1.70766,9.24565,0,0,0.2939,0
20.6,371.54779,1.71719,9.28869,0,0,0.29534,0
20.7,373.20363,1.72484,9.33009,0,0,0.2966,0
20.8,375.2325,1.73328,9.38081,0,0,0.29802,0
20.9,376.36252,1.74156,9.40906,0,0,0.29933,0
21,378.30283,1.74984,9.45757,0,0,0.30066,0
21.1,379.79726,1.75875,9.49493,0,0,0.30201,0
21.2,381.48444,1.76594,9.53711,0,0,0.30333,0
21.3,383.39968,1.77531,9.58499,0,0,0.30464,0
21.4,384.61043,1.78312,9.61526,0,0,0.30579,0
21.5,386.50918,1.79203,9.66273,0,0,0.30731,0
21.6,387.97383,1.8,9.69935,0,0,0.30866,0
21.7,389.78877,1.80875,9.74472,0,0,0.31019,0
21.8,391.37094,1.81687,9.78427,0,0,0.31126,0
21.9,392.96094,1.82437,9.82402,0,0,0.31252,0
22,394.72571,1.83359,9.86814,0,0,0.31409,0
22.1,396.27501,1.84141,9.90688,0,0,0.31539,0
22.2,397.83916,1.85062,9.94598,0,0,0.31685,0
22.3,399.28658,1.85797,9.98216,0,0,0.31795,0
22.4,401.31854,1.86703,10.03296,0,0,0.31949,0
22.5,402.72991,1875,10.06825,0,0,0.32067,0
22.6,404.54641,1.88297,10.11366,0,0,0.32213,0
22.7,405.99378,1.89156,10.14984,0,0,0.32314,0
22.8,407.74448,1.89969,10.19361,0,0,0.32469,0
22.9,409.22398,1.90859,10.2306,0,0,0.32601,0
23,410.63456,1.91625,10.26586,0,0,0.32687,0
23.1,412.27238,1.92516,10.30681,0,0,0.32847,0
23.2,413.89922,1.93312,10.34748,0,0,0.32971,0
23.3,415.69537,1.94172,10.39238,0,0,0.33109,0
23.4,417.09575,1.94984,10.42739,0,0,0.33194,0
23.5,418.80175,1.95844,10.47004,0,0,0.33318,0
23.6,420.31338,1.96719,10.50783,0,0,0.33406,0
23.7,421.72158,1.97453,10.54304,0,0,0.33479,0
23.8,423.15018,1.98359,10.57875,0,0,0.33554,0
23.9,424.65716,1.99156,10.61643,0,0,0.33631,0
24,426.31379,2.00031,10.65784,0,0,0.33691,0
24.1,427.37876,2.00828,10.68447,0,0,0.33781,0
24.2,429.18664,2.01672,10.72967,0,0,0.33914,0
24.3,430.78996,2025,10.76975,0,0,0.3402,0
24.4,432.26792,2.03297,10.8067,0,0,0.34158,0
24.5,433.84619,2.04141,10.84616,0,0,0.34255,0
24.6,435.46678,2.04984,10.88667,0,0,0.34408,0
24.7,436.99569,2.05906,10.92489,0,0,0.34544,0
24.8,438.28557,2.06641,10.95714,0,0,0.34658,0
24.9,440.13499,2.07531,11.00338,0,0,348,0
25,441.79945,2.08312,11.04499,0,0,0.34935,0
25.1,443.19667,2.09141,11.07992,0,0,0.3508,0
25.2,444.61275,2.1,11.11532,0,0,0.35205,0
25.3,446.48251,2.10797,11.16206,0,0,0.35331,0
25.4,448.15717,2.11734,11.20393,0,0,0.35481,0
25.5,449.54424,2.12484,11.23861,0,0,0.35603,0
25.6,451.21652,2.13375,11.28041,0,0,0.35733,0
25.7,452.79558,2.14141,11.31989,0,0,0.35846,0
25.8,454.44909,2.15,11.36123,0,0,0.36002,0
25.9,455.89963,2.15812,11.39749,0,0,0.36122,0
26,457.6683,2.16672,11.44171,0,0,0.36292,0
26.1,458.96526,2175,11.47413,0,0,0.36402,0
26.2,460.82642,2.18281,11.52066,0,0,0.3654,0
26.3,462.36548,2.19219,11.55914,0,0,0.36709,0
26.4,463.72279,2.19969,11.59307,0,0,0.36824,0
26.5,465.62701,2.20875,11.64068,0,0,0.36969,0
26.6,466.95373,2.21656,11.67384,0,0,0.37095,0
26.7,468.44501,2.22516,11.71113,0,0,0.37232,0
26.8,469.86733,2.23328,11.74668,0,0,0.37357,0
26.9,471.60471,2.24109,11.79012,0,0,0.37509,0
27,473.09911,2.25016,11.82748,0,0,0.37652,0
